"index: Ascending","Average scoreMe","Average writeError"
174,"0.00005208333333333334","0.000017000000000000003"
175,"0.00007667824074074074","0.000017000000000000003"
176,"0.00004557291666666667","0.000017000000000000003"
177,"0.000040147569444444445","0.000017000000000000003"
178,"0.00008969907407407407","0.000017000000000000003"
179,"0.00018446180555555555","0.000017000000000000003"
180,"0.00008355034722222223","0.000018"
181,"0.00008969907407407407","0.000018"
182,"0.00013925057870370371","0.000018"
183,"0.0000415943287037037","0.000018"
184,"0.00005859375","0.000018"
185,"0.00011646412037037036","0.000018"
186,"0.00003399884259259259","0.000018"
187,"0.000056061921296296296","0.000018"
188,"0.00008499710648148148","0.000018"
189,"0.00005063657407407407","0.000018"
190,"0.0000611255787037037","0.000019"
191,"0.0000755931712962963","0.000019"
192,"0.00016782407407407406","0.000019"
193,"0.00010923032407407408","0.000019"
194,"0.00007740162037037038","0.000019"
195,"0.000050998263888888885","0.000019"
196,"0.00004484953703703704","0.000019"
197,"0.00010706018518518517","0.000019"
198,"0.00003436053240740741","0.000019"
199,"0.00006691261574074074","0.000019"
200,"0.00010597511574074075","0.00002"
201,"0.00015986689814814816","0.00002"
202,"0.0001490162037037037","0.00002"
203,"0.00009548611111111112","0.00002"
204,"0.00010416666666666667","0.00002"
205,"0.00007161458333333333","0.00002"
206,"0.00017903645833333335","0.00002"
207,"0.00009006076388888889","0.00002"
208,"0.00006293402777777778","0.00002"
209,"0.00008535879629629628","0.00002"
210,"0.00016239872685185186","0.000021"
211,"0.000028211805555555558","0.000021"
212,"0.00014214409722222222","0.000021"
213,"0.00017071759259259262","0.000021"
214,"0.00012008101851851851","0.000021"
215,"0.00010886863425925925","0.000021"
216,"0.00012586805555555555","0.000021"
217,"0.00013852719907407406","0.000021"
218,"0.00005497685185185185","0.000021"
219,"0.00010163483796296294","0.000021"
220,"0.00007523148148148147","0.000022000000000000003"
221,"0.00005678530092592593","0.000022000000000000003"
222,"0.00011176215277777778","0.000022000000000000003"
223,"0.00008355034722222222","0.000022000000000000003"
224,"0.00006980613425925927","0.000022000000000000003"
225,"0.000058593750000000005","0.000022000000000000003"
226,"0.000224609375","0.000022000000000000003"
227,"0.00015082465277777777","0.000022000000000000003"
228,"0.00014322916666666667","0.000022000000000000003"
229,"0.00010380497685185185","0.000022000000000000003"
230,"0.0002777777777777778","0.000023"
231,"0.00008825231481481481","0.000023"
232,"0.00007450810185185185","0.000023"
233,"0.0001124855324074074","0.000023000000000000003"
234,"0.00009910300925925927","0.000023"
235,"0.00017361111111111112","0.000023"
236,"0.00009729456018518518","0.000023"
237,"0.00021918402777777778","0.000023"
238,"0.00012405960648148148","0.000023000000000000003"
239,"0.00017903645833333335","0.000023"
240,"0.0001634837962962963","0.000024"
241,"0.0001493778935185185","0.000024"
242,"0.00016456886574074073","0.000024"
243,"0.00015010127314814815","0.000024"
244,"0.00018590856481481483","0.000024"
245,"0.00020616319444444447","0.000024"
246,"0.000146484375","0.000024"
247,"0.00018590856481481483","0.000024"
248,"0.00013961226851851851","0.000024"
249,"0.00009114583333333334","0.000024"
250,"0.00014973958333333335","0.000025"
251,"0.00009223090277777779","0.000025"
252,"0.00016456886574074073","0.000025"
253,"0.00011610243055555556","0.000025"
254,"0.0001486545138888889","0.000025"
255,"0.00019856770833333334","0.000025"
256,"0.00024848090277777775","0.000025"
